gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Ccl4,Ccl3,0.0,0.0,0.0,0.0,0.922,0.107,0.9,0.029772,0.992,string:10090.ENSMUSP00000019074,string:10090.ENSMUSP00000001008,Ccl4,Ccl3
Ccl9,Ccl6,0.0,0.0,0.0,0.0,0.646,0.0,0.9,0.050681,0.964,string:10090.ENSMUSP00000019266,string:10090.ENSMUSP00000019071,Ccl9,Ccl6
Ccl5,Ccl4,0.0,0.0,0.0,0.0,0.533,0.077,0.9,0.046768,0.955,string:10090.ENSMUSP00000039600,string:10090.ENSMUSP00000019074,Ccl5,Ccl4
Ccl5,Ccl6,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.49,0.946,string:10090.ENSMUSP00000039600,string:10090.ENSMUSP00000019071,Ccl5,Ccl6
Ccl5,Ccl3,0.0,0.0,0.0,0.0,0.382,0.077,0.9,0.036639,0.94,string:10090.ENSMUSP00000039600,string:10090.ENSMUSP00000001008,Ccl5,Ccl3
Ccl5,Ccl9,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.413,0.938,string:10090.ENSMUSP00000039600,string:10090.ENSMUSP00000019266,Ccl5,Ccl9
Ddx52,Aatf,0.0,0.0,0.0,0.0,0.779,0.119,0.0,0.441,0.881,string:10090.ENSMUSP00000048802,string:10090.ENSMUSP00000018841,Ddx52,Aatf
Nle1,Aatf,0.0,0.0,0.0,0.0,0.742,0.0,0.0,0.0,0.742,string:10090.ENSMUSP00000099502,string:10090.ENSMUSP00000018841,Nle1,Aatf
Bcas3,Appbp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736,0.736,string:10090.ENSMUSP00000074416,string:10090.ENSMUSP00000018625,Bcas3,Appbp2
Taf15,Nle1,0.0,0.0,0.0,0.0,0.699,0.0,0.0,0.0,0.699,string:10090.ENSMUSP00000103474,string:10090.ENSMUSP00000099502,Prmt1,Nle1
Nle1,Ddx52,0.0,0.0,0.0,0.0,0.689,0.0,0.0,0.0,0.689,string:10090.ENSMUSP00000099502,string:10090.ENSMUSP00000048802,Nle1,Ddx52
Ppm1d,Appbp2,0.0,0.0,0.0,0.0,0.106,0.077,0.0,0.629,0.667,string:10090.ENSMUSP00000020835,string:10090.ENSMUSP00000018625,Ppm1d,Appbp2
Lig3,Rad51d,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.649,0.659,string:10090.ENSMUSP00000090525,string:10090.ENSMUSP00000018985,Lig3,Rad51l3
Znhit3,Tada2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,string:10090.ENSMUSP00000099484,string:10090.ENSMUSP00000018795,Znhit3,Tada2a
